,youtuber,subscribers_,video_views_,video_count_,category_,started_
1,Zee TV ,62000000.0,15900076809.0,59332.0,Entertainment ,2005
2,Rihanna ,39000000.0,19498773786.0,79.0,Entertainment ,2005
3,Ishtar Music ,36600000.0,14208873860.0,4496.0,Trailers ,2005
4,Shakira ,35500000.0,22591879625.0,269.0,People & Blogs ,2005
5,T-Series ,213000000.0,188073919029.0,16708.0,Music ,2006
6,Cocomelon - Nursery Rhymes ,133000000.0,126822520940.0,751.0,Education ,2006
7,SET India ,131000000.0,101541977714.0,78334.0,Shows ,2006
8,Movieclips ,56600000.0,57317911331.0,38746.0,Film & Animation ,2006
9,Ed Sheeran ,51600000.0,26988082012.0,240.0,Music ,2006
10,Taylor Swift ,46200000.0,24711297896.0,189.0,Music ,2006
11,YRF ,45500000.0,27290750378.0,3131.0,Film & Animation ,2006
12,Felipe Neto ,43900000.0,14903103358.0,3305.0,Entertainment ,2006
13,Get Movies ,39200000.0,27941044582.0,3746.0,Entertainment ,2006
14,TheEllenShow,38200000.0,22040498763.0,14084.0,Entertainment ,2006
15,Maroon 5,35700000.0,20238289703.0,163.0,Music ,2006
16,Bruno Mars ,34700000.0,16706459290.0,95.0,Music ,2006
17,Super Simple Songs - Kids Songs ,33900000.0,35216710205.0,587.0,Education ,2006
18,WWE ,87600000.0,67960479071.0,60699.0,Sports ,2007
19,Justin Bieber ,68400000.0,27701817623.0,243.0,Music ,2007
20,Sony SAB ,65900000.0,75885489073.0,50810.0,Shows ,2007
21,EminemMusic ,51700000.0,22733757739.0,138.0,Music ,2007
22,Ariana Grande ,51100000.0,21549846530.0,146.0,Music ,2007
23,Tips Official ,50300000.0,26034278484.0,3379.0,Music ,2007
24,Shemaroo,36000000.0,19282156578.0,8955.0,Entertainment ,2007
25,HYBE LABELS ,65000000.0,22230010723.0,819.0,Music ,2008
26,Colors TV ,51900000.0,48868988091.0,78851.0,Shows ,2008
27,Katy Perry ,42700000.0,23477006711.0,113.0,Music ,2008
28,ABS-CBN Entertainment ,39000000.0,46162631485.0,173988.0,People & Blogs ,2008
29,VEGETTA777,33000000.0,14724851921.0,7007.0,Gaming ,2008
30,Dude Perfect ,57400000.0,14219518587.0,287.0,Sports ,2009
31,Aaj Tak ,51100000.0,18207329178.0,175877.0,News & Politics,2009
32,Sony Music India ,50600000.0,23567472626.0,3031.0,Music ,2009
33,SonyMusicIndiaVEVO,41300000.0,22855070416.0,3228.0,Music ,2009
34,TEDx Talks ,34500000.0,6356262947.0,179816.0,Nonprofits & Activism ,2009
35,PewDiePie ,111000000.0,28260779633.0,4472.0,Gaming ,2010
36,Shemaroo Filmi Gaane ,59400000.0,27266280091.0,7626.0,Music ,2010
37,One Direction ,37000000.0,12395170322.0,157.0,Music ,2010
38,Pinkfong Baby Shark - Kids' Songs & Stories ,57000000.0,30097233928.0,2227.0,Education ,2011
39,T-Series Bhakti Sagar ,49900000.0,22797147163.0,23183.0,Music ,2011
40,El Reino Infantil ,49300000.0,47232834583.0,1222.0,Music ,2011
41,Fernanfloo,44800000.0,9834587080.0,541.0,Gaming ,2011
42,HolaSoyGerman ,43200000.0,4702061823.0,136.0,Entertainment ,2011
43,elrubiusOMG,40400000.0,7429801800.0,704.0,Gaming ,2011
44,Little Baby Bum - Nursery Rhymes & Kids Songs ,38600000.0,35945824996.0,1728.0,Education ,2011
45,???? ? ???????,37600000.0,31845287102.0,1139.0,Film & Animation ,2011
46,Daddy Yankee ,36200000.0,19516597967.0,409.0,Music ,2011
47,J Balvin ,33300000.0,20881421568.0,129.0,Music ,2011
48,MrBeast ,93900000.0,15417304461.0,721.0,Entertainment ,2012
49,Goldmines ,68800000.0,16271446682.0,3050.0,Film & Animation ,2012
50,Canal KondZilla,65600000.0,36145092618.0,2252.0,Music ,2012
51,BANGTANTV ,65600000.0,15827521495.0,1686.0,Music ,2012
52,Alan Walker ,41700000.0,11358287657.0,302.0,Music ,2012
53,Speed Records ,40100000.0,23698345670.0,10065.0,Music ,2012
54,Luisito Comunica ,38500000.0,7351172092.0,1103.0,Comedy ,2012
55,WorkpointOfficial ,36200000.0,32750254533.0,58916.0,Entertainment ,2012
56,Markiplier ,32600000.0,18011837263.0,5129.0,Gaming ,2012
57,ABP News ,32300000.0,9850740503.0,209351.0,People & Blogs ,2012
58,ChuChu TV Nursery Rhymes & Kids Songs ,55800000.0,37609551674.0,474.0,Education ,2013
59,JuegaGerman,45500000.0,13400179485.0,1918.0,Gaming ,2013
60,Billie Eilish ,45300000.0,11412714912.0,45.0,Music ,2013
61,Whinderssonnunes ,43700000.0,4056749823.0,517.0,Comedy ,2013
62,Voce Sabia?,42600000.0,7061556772.0,1253.0,Entertainment ,2013
63,one31,33400000.0,26302194542.0,122287.0,Entertainment ,2013
64,Zee Music Company ,83300000.0,46291230294.0,6265.0,Music ,2014
65,Wave Music ,51700000.0,36012717623.0,18630.0,Music ,2014
66,LooLoo Kids - Nursery Rhymes and Children's Songs ,48900000.0,28034396603.0,505.0,Music ,2014
67,Badabun ,45500000.0,18388171178.0,11549.0,Entertainment ,2014
68,Infobells - Hindi ,43200000.0,24014102724.0,462.0,Education ,2014
69,A4,39400000.0,14391209548.0,582.0,Gaming ,2014
70,Bad Bunny ,38500000.0,19328721596.0,98.0,Music ,2014
71,GR6 EXPLODE ,37200000.0,23244187762.0,4067.0,Music ,2014
72,LUCCAS NETO - LUCCAS TOON ,37100000.0,19721474289.0,1781.0,People & Blogs ,2014
73,CarryMinati ,35200000.0,2844277672.0,177.0,Comedy ,2014
74,Masha and The Bear ,33200000.0,17999127339.0,872.0,Shows ,2014
75,Desi Music Factory ,32200000.0,9115577588.0,122.0,Music ,2014
76,Kids Diana Show ,93800000.0,73296417664.0,977.0,People & Blogs ,2015
77,Marshmello ,55100000.0,12967930243.0,393.0,Entertainment ,2015
78,XXXTENTACION ,36800000.0,9439987125.0,114.0,Music ,2015
79,Shfa ,35100000.0,18171683239.0,795.0,People & Blogs ,2015
80,Goldmines Gaane Sune Ansune ,32800000.0,13405543587.0,2925.0,Music ,2015
81,Ryan's World ,32400000.0,51312603726.0,2155.0,Entertainment ,2015
82,Like Nastya,91000000.0,74204846514.0,670.0,People & Blogs ,2016
83,5-Minute Crafts,76300000.0,23174639387.0,5281.0,How to & Style ,2016
84,BLACKPINK ,73600000.0,23351994944.0,394.0,People & Blogs ,2016
85,Voot Kids ,36300000.0,16096496089.0,2875.0,Entertainment ,2016
86,Kimberly Loaiza,36200000.0,3997275983.0,197.0,People & Blogs ,2016
87,Toys and Colors ,35300000.0,38339684179.0,765.0,Entertainment ,2016
88,Ozuna ,34800000.0,20471335787.0,137.0,Music ,2016
89,BRIGHT SIDE ,43200000.0,9762131005.0,4843.0,How to & Style ,2017
90,Like Nastya Show ,41000000.0,18474229002.0,551.0,Entertainment ,2017
91,shfa2 - ???,34700000.0,19676656583.0,1224.0,People & Blogs ,2017
92,Jkk Entertainment ,34500000.0,14403267858.0,186.0,Comedy ,2017
93,Like Nastya ESP ,32600000.0,15144858210.0,584.0,Entertainment ,2017
94,Vlad and Niki ,80900000.0,62444514631.0,443.0,Entertainment ,2018
